m,M,average weight,average_laplacian weight,average_gaussian weight,average volume,average_laplacian volume,average_gaussian volume,average_L2_laplacian_supression,average_L2_gaussian_supression
0.1,0.9,139.84078271288985,139.74620240739088,140.21310056051078,119.5917112796058,119.64626697607171,119.75061999910189,0.8822849367697332,2.668650481625729
0.1,0.8,139.8546971795694,139.80553577649584,139.8691312691466,119.59259606069784,119.5732048712302,119.5535795768937,0.8500629069115925,2.6193905663836112
0.1,0.7,139.87286398457434,139.90811405098563,140.00867004567976,119.6006826918682,119.68500006835656,119.75325326941687,0.7523832706048297,2.56146880577934
0.1,0.6,139.84404773705063,139.91998371633153,140.2530936239694,119.56644985418468,119.51917599250984,119.69867785744276,0.8286122936074498,2.4078837078791486
0.1,0.5,139.8629019012561,139.7635083290267,139.84275467628123,119.55738667573364,119.54319275774132,119.66265005973668,0.8701988417454102,2.439763437658258
0.1,0.4,139.87364298301412,139.88332555131512,140.06106499886266,119.58320663932167,119.64739925373944,119.615509208985,0.7912057500999681,2.499310765990143
0.1,0.3,139.86627297450806,139.83372796593096,139.72818653350294,119.5809852492666,119.620234028429,119.8485703088429,0.7672674990604468,2.5581736151845926
0.1,0.2,139.85093682750562,139.87134285861134,139.77153733224222,119.58481450281948,119.53506850834272,119.85356045617172,0.7444037141350022,2.572414467265862
0.1,0.1,139.8240558387051,139.8217328547409,140.08989405398071,119.58334615967864,119.54861337194907,119.5670951106136,0.7495719433292445,2.353044953793255
0.2,0.9,139.85693520300384,139.8084340889009,140.07271415219208,119.5741395474738,119.5549886207604,119.67717935074752,0.8771823216318216,3.127720255691904
0.2,0.8,139.88976245077097,139.93629113566865,139.977900126556,119.56582422460622,119.57789022886487,119.3319663928009,0.98137719280437,2.9796318962595776
0.2,0.7,139.8463595217799,139.82641492198695,139.8627449719906,119.55632914307584,119.51618535831533,119.5749600966149,1.0041948477855158,3.207840031564079
0.2,0.6,139.90800904634727,139.96470328815403,139.4880971339576,119.53116932411578,119.56908381862809,119.638145487061,0.8521054634774505,2.894179322041657
0.2,0.5,139.8711803154611,139.8686924469442,139.58179390451835,119.57390197891417,119.63088402888395,119.54055189525609,0.7913182114248266,3.231431674819081
0.2,0.4,139.83261698349233,139.7664950469954,139.86728477754227,119.55886150314316,119.60780092948944,119.57720193474717,0.9467993809383404,2.6900562726111503
0.2,0.3,139.82175994570605,139.93209780050086,139.89601802498473,119.55496504502013,119.60105892656392,119.7613253415015,0.8271388505752827,2.814273528994404
0.2,0.2,139.8545490462521,139.84463420669726,140.20607930574408,119.57500360177424,119.53679735345838,119.57625018374328,0.8538049840849175,2.6109477693744707
0.3,0.9,139.88541569508092,139.80345219763748,139.88310975439944,119.57693028461658,119.61958873445316,119.231368197697,0.9461440784976712,3.358405037993017
0.3,0.8,139.81221395919232,139.87356843783817,140.19442244408825,119.60299407085766,119.57669895184468,119.5760505036718,1.0122168352998318,3.141044468308114
0.3,0.7,139.89407462214126,140.02799288127505,139.85344307248468,119.59216606633603,119.62982167404684,119.46028243795016,0.9377800161256236,3.299032502798423
0.3,0.6,139.8089301198013,139.76467457760145,139.94082515630492,119.58249193299342,119.59005518961594,119.83573267122227,0.9205327133477252,3.306819476456959
